Gene	log2FC	pvalue	FDR	direction	Symbol
A_19_P00800316	0.0840714285714288	0.5686154140771327	0.8300217729835706	Not Sig	LOC440131
A_19_P00800467	-0.0018571428571405	0.967813727337256	0.9916934293783154	Not Sig	CLEC2D
A_19_P00800522	0.722285714285714	0.0089051108624817	0.1361090874074682	Up	XLOC_009313
A_19_P00800549	-0.0014285714285691	0.973215510438576	0.9932748060787308	Not Sig	PMF1
A_19_P00800555	-0.1131428571428578	0.0936449073272279	0.4329715642309218	Not Sig	Q982T4
A_19_P00800629	-0.0554285714285713	0.4162091516726259	0.7438236519546084	Not Sig	XLOC_l2_013972
A_19_P00800638	-0.1598571428571418	0.0197149098380463	0.2017062602641076	Not Sig	LOC100505875
A_19_P00800667	-0.7007142857142847	0.0120894075856947	0.1587344788008336	Down	FLAP
A_19_P00800681	-0.0315000000000011	0.6626317652072272	0.8775126922031223	Not Sig	LOC100506965
A_19_P00800927	-0.0995714285714282	0.6432252639932436	0.8680132889509995	Not Sig	XLOC_010593
A_19_P00801041	-0.0456428571428579	0.5942551210978088	0.8438955534491522	Not Sig	GNASAS
A_19_P00801042	-0.0803571428571441	0.2987018489028362	0.6724008797664865	Not Sig	ZNF90
A_19_P00801088	0.5950000000000006	0.0025964288572178	0.0757314781101848	Up	LOC100289026
A_19_P00801279	-0.0350000000000001	0.73428190495796	0.9091613277222916	Not Sig	P39194
A_19_P00801324	-0.0514285714285716	0.4278846881873147	0.7505574460403652	Not Sig	P39195
A_19_P00801407	-0.2745000000000002	0.3714481367031512	0.7193970412286059	Not Sig	XLOC_005077
A_19_P00801412	-0.2773571428571428	0.3758548038738435	0.7209498736197859	Not Sig	VSIG7
A_19_P00801416	-0.3203571428571432	0.1478625137952373	0.5216485715434321	Not Sig	XLOC_003677
A_19_P00801490	0.0651428571428551	0.7558702522545508	0.9173490138637636	Not Sig	LOC100505946
A_19_P00801506	-0.2083571428571442	0.3586451918110899	0.7124966390938173	Not Sig	Q8WNA4
