Gene	log2FC	pvalue	FDR	direction
A_24_P83615	0.11085714285714143	0.3013705986982158	0.6746866796026306	Not Sig
A_24_P83678	-0.17735714285714366	0.04590538427527484	0.3111706020093292	Not Sig
A_24_P8371	-0.14135714285714052	0.14513340230832508	0.518283008534604	Not Sig
A_24_P83738	-0.043285714285715926	0.5555839520585384	0.8231390745999827	Not Sig
A_24_P83787	0.14657142857142702	0.36097944047695407	0.7142969168117945	Not Sig
A_24_P83808	-0.004357142857145391	0.867971318930876	0.9601124065862107	Not Sig
A_24_P838448	-0.182500000000001	0.17011843607704388	0.5496679533917411	Not Sig
A_24_P838483	0.10471428571428576	0.37633575126852653	0.7210502782335413	Not Sig
A_24_P838947	0.049857142857143266	0.7264327619191587	0.9049281349172229	Not Sig
A_24_P83899	0.20421428571428635	0.41837432650800443	0.7447896681879577	Not Sig
A_24_P83922	-0.4706428571428576	0.09468421352686013	0.4355822030443907	Not Sig
A_24_P839254	0.0993571428571407	0.05396337203401198	0.3387867688343651	Not Sig
A_24_P840042	0.4037142857142857	0.11187833624176456	0.46634836053469475	Not Sig
A_24_P84008	-0.0329999999999977	0.358566915805793	0.7124528380815824	Not Sig
A_24_P84021	0.2247857142857148	0.005658817427481051	0.10894050377590561	Not Sig
A_24_P84048	0.05378571428571277	0.2097928027369547	0.5938306118989943	Not Sig
A_24_P841677	-0.054999999999999716	0.5211580408484444	0.8036928031608424	Not Sig
A_24_P842006	0.023142857142858908	0.8024596685885511	0.9361573823028689	Not Sig
A_24_P842172	-0.16742857142857126	0.19170191266100578	0.5736569663693545	Not Sig
A_24_P843020	0.17971428571428572	0.4708134028389152	0.7764369145896834	Not Sig
A_24_P84340	0.17528571428571382	0.16311024818518616	0.5407923886860998	Not Sig
A_24_P84396	-0.6953571428571421	0.005208558278288136	0.10417733197256417	Down
A_24_P84401	0.0628571428571425	0.619113074629429	0.8560498693614337	Not Sig
A_24_P84419	0.09521428571428459	0.13993286349691444	0.5120547875394204	Not Sig
A_24_P84428	-0.0533571428571431	0.3061559541345509	0.6778522701287415	Not Sig
A_24_P844984	0.015428571428572013	0.9568055417759989	0.988780998161507	Not Sig
A_24_P845072	-0.060357142857142776	0.3264111925012527	0.6913865960189315	Not Sig
A_24_P84508	0.0022857142857191093	0.9507286760247111	0.9870509787183871	Not Sig
A_24_P8454	-0.04264285714285698	0.3903673797623418	0.7295438629470444	Not Sig
A_24_P84608	-0.4468571428571426	0.0005717842516341274	0.03651901449104936	Down
A_24_P84657	0.01550000000000007	0.5929493640020039	0.8433722057055367	Not Sig
A_24_P84752	-0.15242857142857202	0.4889159755527832	0.7857695661053268	Not Sig
A_24_P84781	-0.036642857142856755	0.719931142495441	0.9024155437279625	Not Sig
A_24_P84808	0.005285714285717447	0.9124257624989683	0.9754108826424088	Not Sig
A_24_P848091	0.00028571428571488866	0.9948927916878089	0.9988936481995487	Not Sig
A_24_P84822	0.23185714285714099	0.06139060510589789	0.3588253676828898	Not Sig
A_24_P84873	-0.025714285714283136	0.4751406235085912	0.7783810272572864	Not Sig
A_24_P84880	-0.16392857142857054	0.061947534154596515	0.3603037495475574	Not Sig
A_24_P84898	-0.10664285714285704	0.2029680768070614	0.5871928213261197	Not Sig
A_24_P8494	0.04642857142857082	0.237594036308601	0.6212970045521011	Not Sig
A_24_P84970	-0.010642857142856066	0.8701317436824364	0.9607444582307546	Not Sig
A_24_P849801	0.10814285714285887	0.1288924471702481	0.49609203665904505	Not Sig
A_24_P850428	0.0033571428571441686	0.9427452627177954	0.9847576803386808	Not Sig
A_24_P85158	0.026857142857146243	0.5450708601075052	0.8170727091851065	Not Sig
A_24_P85181	0.01585714285714168	0.6499425097613738	0.8715043941334455	Not Sig
A_24_P85200	0.06335714285714467	0.3112877489007476	0.6819018079289066	Not Sig
A_24_P85243	0.46685714285714397	0.11176455723476643	0.4662391476974705	Not Sig
A_24_P85258	0.34385714285714153	0.24101420434677506	0.6245162116971739	Not Sig
A_24_P852601	-0.0016428571428575012	0.991464311092581	0.9980263746317679	Not Sig
A_24_P852756	0.21585714285714275	0.25865768646483694	0.6397485558242454	Not Sig
A_24_P85317	-0.4280714285714282	0.008878015032832908	0.1357901715074888	Down
A_24_P854492	0.4275714285714285	0.01955205941476317	0.20090987606164767	Up
A_24_P85478	-0.05892857142857011	0.1121414562883618	0.46694589459932967	Not Sig
A_24_P854913	0.25485714285714156	0.1213962120896175	0.48366388452237463	Not Sig
A_24_P85511	-0.032642857142857196	0.8841745758105702	0.9648821663942391	Not Sig
A_24_P85537	-0.17807142857142777	0.3141352143299297	0.683789776170853	Not Sig
A_24_P855508	0.04507142857142843	0.7619163747388804	0.9198277266659682	Not Sig
A_24_P85557	-0.05864285714285744	0.48016901871928946	0.7808898135344368	Not Sig
A_24_P85619	-0.0671428571428585	0.3665072613429292	0.7169035362063865	Not Sig
A_24_P857527	-0.00014285714285700024	0.9956597389014509	0.999100378668819	Not Sig
A_24_P857624	-0.27649999999999864	0.00997576843679023	0.14445767762338263	Not Sig
A_24_P85775	0.08292857142856924	0.5477232173173793	0.818798524602613	Not Sig
A_24_P85850	-0.14221428571428696	0.08893711195371533	0.4231282372476986	Not Sig
A_24_P85881	0.018571428571428683	0.9658139528096998	0.9911113354616564	Not Sig
A_24_P85942	-0.27257142857142824	4.164730405855906e-05	0.011792236377653347	Not Sig
A_24_P860703	0.023857142857144353	0.8712790294380692	0.9610236136890025	Not Sig
A_24_P860797	-0.281642857142856	0.0004222148726657414	0.032117265980642705	Not Sig
A_24_P861009	-0.07242857142857062	0.04670151899307026	0.314547918554921	Not Sig
A_24_P86240	-0.011142857142858453	0.8432481125178418	0.9508397278353159	Not Sig
A_24_P86246	0.04457142857142826	0.38584018226640904	0.7264855471360581	Not Sig
A_24_P862886	-0.18407142857142755	0.15505057162197106	0.5311636356672991	Not Sig
A_24_P863775	0.5048571428571433	0.07201771909916785	0.38700936689249776	Not Sig
A_24_P86389	0.07649999999999757	0.18353082381717742	0.5638794982422196	Not Sig
A_24_P865	0.07350000000000101	0.2924578138266172	0.6678067840229969	Not Sig
A_24_P865226	0.0716428571428569	0.7926374074547029	0.9329569546659012	Not Sig
A_24_P865245	0.02799999999999958	0.9203578280504214	0.9777909654777075	Not Sig
A_24_P865672	-0.033142857142856474	0.9148149018482362	0.9759125842941625	Not Sig
A_24_P867342	-0.18507142857142878	0.11406461548691242	0.470546712251602	Not Sig
A_24_P86868	-0.026857142857140914	0.7073059537149421	0.8979012125714182	Not Sig
A_24_P86993	0.10857142857142765	0.21093052081711064	0.594615472861317	Not Sig
A_24_P87036	0.1466428571428562	0.0918369817927762	0.4296661818705138	Not Sig
A_24_P870620	0.19828571428571706	0.07925608805031385	0.40322588944529786	Not Sig
A_24_P870799	0.04021428571428576	0.7420179411221387	0.9119891192349917	Not Sig
A_24_P87114	0.12714285714285722	0.20356787069626775	0.5877140952576922	Not Sig
A_24_P873414	0.004071428571428726	0.9133764278903304	0.9756530039152769	Not Sig
A_24_P873659	-0.21271428571427897	0.0007437804663322054	0.04132586139303268	Not Sig
A_24_P873764	-0.019000000000001904	0.736450220869406	0.910346628580377	Not Sig
A_24_P874052	0.056071428571428994	0.6229898572569121	0.8584832096778106	Not Sig
A_24_P87458	-0.20914285714285707	0.47101381319306584	0.7764406366122294	Not Sig
A_24_P87490	-0.022428571428571686	0.681541201081942	0.8857741547248853	Not Sig
A_24_P876408	0.08599999999999852	0.1262592351771174	0.49186671447329733	Not Sig
A_24_P876522	0.08864285714285813	0.25093469153133363	0.6329313710999592	Not Sig
A_24_P8768	0.03300000000000303	0.2625062903378262	0.6425793920884832	Not Sig
A_24_P87746	-0.1684285714285716	0.5518650172430628	0.8214924421090857	Not Sig
A_24_P87763	0.22314285714285909	0.0028357841303020435	0.07940665584314832	Not Sig
A_24_P878388	0.004428571428569228	0.9415912721835716	0.984499382563536	Not Sig
