dataset	N	pert_id	pert_iname	score	is_target
GSE90594	100	BRD-K27305650	LY-294002	0.16383333333333427	0
GSE90594	100	BRD-K98739056	BRD-K98739056	3.3121190476190456	0
GSE90594	100	BRD-K93158953	BRD-K93158953	2.3800714285714255	0
GSE90594	100	BRD-K72903603	zidovudine	3.196797619047614	0
GSE90594	300	Li	Li	3.774428571428575	1
GSE90594	300	Zn_proxy	Zn_proxy	10.338702380952379	1
GSE90594	300	GSK3	GSK3	8.402140476190482	1
GSE90594	300	Li_Zn	Li_Zn	14.113130952380954	1
GSE90594	300	GSK3_Zn	GSK3_Zn	18.03884285714286	1
GSE90594	300	BRD-K46017542	BRD-K46017542	9.693178571428582	0
GSE90594	300	BRD-K49577446	flunisolide	12.229090476190471	0
GSE90594	300	BRD-K94176593	TWS-119	4.4118333333333375	0
GSE90594	300	BRD-K92953840	BRD-K92953840	14.145866326530603	0
GSE90594	300	BRD-K06159959	CCMQ	8.624154761904759	0
GSE90594	300	BRD-A64290322	cyclosporin-a	4.114256722689075	0
GSE90594	300	BRD-K11634954	GBR-13069	9.085660714285707	0
GSE90594	300	BRD-K42098891	protriptyline	4.400693627450981	0
GSE90594	300	BRD-K90543092	levonorgestrel	12.202474999999993	0
GSE90594	300	BRD-A75931230	F-1061-0166	12.445313095238099	0
GSE90594	300	BRD-K96703623	BRD-K96703623	12.634690476190476	0
GSE90594	300	BRD-K31975688	BRD-K31975688	4.479571428571437	0
GSE90594	300	BRD-K17830172	BRD-K17830172	13.409726190476189	0
GSE90594	300	BRD-K06692906	Gossypetin	7.2119642857142825	0
GSE90594	300	BRD-K68690198	BRD-K68690198	11.326404761904756	0
GSE90594	300	BRD-A91992993	siguazodan	10.165249999999995	0
GSE90594	300	BRD-A56359832	zileuton	6.854559523809521	0
GSE90594	300	BRD-K08316444	rotenone	7.504278571428565	0
GSE90594	300	BRD-K41713976	E-4031	12.418172619047624	0
GSE90594	300	BRD-A94413429	NTNCB	3.4530357142857033	0
GSE90594	300	BRD-K69556541	ryanodine	7.699059523809525	0
GSE90594	300	BRD-K04676863	BRD-K04676863	8.533625000000006	0
GSE90594	300	BRD-K20352452	BRD-K20352452	8.156930952380954	0
GSE90594	300	BRD-K72420232	WZ-4002	11.355023809523814	0
GSE90594	300	BRD-K80184735	KUC104240N	7.981910714285716	0
GSE90594	300	BRD-A83326220	brazilin	8.40215238095238	0
GSE90594	300	BRD-A80383043	4-carboxy-3-hydroxyphenylglycine-(RS)	12.473383333333341	0
GSE90594	300	BRD-K79554012	BRD-K79554012	9.617089285714275	0
GSE90594	300	BRD-A92630576	trimebutine	11.885436904761907	0
GSE90594	300	BRD-K15054362	BRD-K15054362	10.569154761904771	0
GSE90594	300	BRD-A73859745	glycodeoxycholic-acid	12.091971088435363	0
GSE90594	300	BRD-K02275692	cefotiam	12.357416666666666	0
GSE90594	300	BRD-K24468827	BRD-K24468827	8.21164285714286	0
GSE90594	300	BRD-K64754843	BRD-K64754843	10.749863095238092	0
GSE90594	300	BRD-K15616905	CCCP	7.776307142857138	0
GSE90594	300	BRD-K84937637	sirolimus	3.035740476190473	0
GSE90594	300	BRD-K77790153	BRD-K77790153	10.716307142857138	0
GSE90594	300	BRD-K98546361	BRD-K98546361	7.4694523809523785	0
GSE90594	300	BRD-K64409586	KU-C104488	4.897751190476187	0
GSE90594	300	BRD-A98431941	ephedrine	12.09921428571429	0
GSE90594	300	BRD-K28610502	RAN-05	11.240083333333326	0
GSE90594	300	BRD-K15588452	R-96544	11.245178571428571	0
GSE90594	300	BRD-K17743125	belinostat	3.241892857142846	0
GSE90594	300	BRD-A59943784	fluticasone	9.933449999999997	0
GSE90594	300	BRD-K42107428	BRD-K42107428	11.74181904761905	0
GSE90594	300	BRD-K15402119	huperzine-a	16.92175595238095	0
GSE90594	300	BRD-K95760042	BRD-K95760042	4.334892857142859	0
GSE90594	300	BRD-K79602928	metformin	5.7438579931972775	0
GSE90594	300	BRD-K44812652	BRD-K44812652	7.3464047619047665	0
GSE90594	300	BRD-A50311610	meclizine	10.263735714285712	0
GSE90594	300	BRD-K90090262	BRD-K90090262	11.535571428571421	0
GSE90594	300	BRD-K41227865	ST-4039884	13.784396825396817	0
GSE90594	300	BRD-K48673964	BRD-K48673964	6.8447214285714315	0
GSE90594	300	BRD-K90553655	testosterone	15.02786904761904	0
GSE90594	300	BRD-K23875128	RHO-kinase-inhibitor-III[rockout]	10.238619047619038	0
GSE90594	300	BRD-K49519144	LY-2140023	19.323601190476186	0
GSE90594	300	BRD-K59024967	BRD-K59024967	7.3741488095238	0
GSE90594	300	BRD-A00474148	BRD-A00474148	9.379470238095239	0
GSE90594	300	BRD-K49403449	BRD-K49403449	13.427330952380945	0
GSE90594	300	BRD-K38910949	ST-4075437	7.949559307359311	0
GSE90594	300	BRD-K10466330	AVA	14.785573809523816	0
GSE90594	300	BRD-K48115423	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	6.832559523809515	0
GSE90594	300	BRD-K13571841	pepstatin	8.604761904761899	0
GSE90594	300	BRD-K14945759	KU-C104127	18.94929761904762	0
GSE90594	300	BRD-A00626522	BRD-A00626522	11.608323809523807	0
GSE90594	300	BRD-K97631938	BRD-K97631938	6.579319047619046	0
GSE90594	300	BRD-K31706415	BRD-K31706415	5.486967857142853	0
GSE90594	300	BRD-K99595596	salsolinol	13.38080952380952	0
GSE90594	300	BRD-K27184429	levocetirizine	6.900309523809523	0
GSE90594	300	BRD-K19894101	MST-312	11.86389285714285	0
GSE90594	300	BRD-K43620258	CHEMBL-399379	9.581926190476194	0
GSE90594	300	BRD-A41649729	BRD-A41649729	10.300535714285703	0
GSE90594	300	BRD-K31268420	NSC-693868	11.363533333333338	0
GSE90594	300	BRD-K77554836	triamcinolone	9.431583333333334	0
GSE90594	300	BRD-K75295174	alisertib	12.031319047619043	0
GSE90594	300	BRD-K71860425	CDK2-5-inhibitor	10.698509523809511	0
GSE90594	300	BRD-K65639003	icariin	8.709988095238092	0
GSE90594	300	BRD-K45044657	BRD-K45044657	9.072285714285712	0
GSE90594	300	BRD-K15601958	SEW-2871	9.706238095238099	0
GSE90594	300	BRD-K37372998	BRD-K37372998	9.488130952380951	0
GSE90594	300	BRD-K36533576	KU-C103875	5.462863095238095	0
GSE90594	300	BRD-A39121618	BRD-A39121618	14.241523809523816	0
GSE90594	300	BRD-K61463582	BRD-K61463582	9.738461904761904	0
GSE90594	300	BRD-K06071925	BRD-K06071925	10.40721428571428	0
GSE90594	300	BRD-K78559095	BRD-K78559095	14.169666666666663	0
GSE90594	300	BRD-K81144366	moxisylyte	11.561545238095238	0
GSE90594	300	BRD-K98471960	BRD-K98471960	11.566063095238095	0
GSE90594	300	BRD-K98521173	desoxycortone	9.04195238095238	0
GSE90594	300	BRD-K00532621	midazolam	8.214290476190468	0
GSE90594	300	BRD-K55260239	BRD-K55260239	9.10190476190476	0
GSE90594	300	BRD-K73082558	BRD-K73082558	9.939547402597402	0
GSE90594	300	BRD-K49327517	THZ-2-98-01	11.071342857142865	0
GSE90594	300	BRD-K07516181	BRD-K07516181	8.19954761904762	0
GSE90594	300	BRD-K34388789	BRD-K34388789	8.169348809523804	0
GSE90594	300	BRD-K14993104	bemegride	11.419958333333332	0
GSE90594	300	BRD-K94381355	BRD-K94381355	18.037309523809512	0
GSE90594	300	BRD-K45542213	BRD-K45542213	8.7734880952381	0
GSE90594	300	BRD-A63043573	cabergoline	7.594589285714288	0
GSE90594	300	BRD-K68144790	glycodeoxycholic-acid	13.661321428571416	0
GSE90594	300	BRD-K68102868	BRD-K68102868	14.881749999999991	0
GSE90594	300	BRD-K43256821	BRD-K43256821	6.667916666666664	0
GSE90594	300	BRD-A33833419	TER-14687	13.879583333333336	0
GSE90594	300	BRD-K47695085	BRD-K47695085	10.392130952380944	0
GSE90594	300	BRD-K60667905	SA-427228	9.241500000000002	0
GSE90594	300	BRD-K65774694	BRD-K65774694	9.913749999999999	0
GSE90594	300	BRD-A96897502	U-74389F	14.072833333333335	0
GSE90594	300	BRD-K86048057	BRD-K86048057	10.87891428571428	0
GSE90594	300	BRD-K58601216	SA-1922927	10.268184523809524	0
GSE90594	300	BRD-K73276569	BRD-K73276569	11.89055952380953	0
GSE90594	300	BRD-K40892394	AR-C133057XX	9.86806349206348	0
GSE90594	300	BRD-K52850071	WHI-P154	5.571610714285717	0
GSE90594	300	BRD-K28112517	BRD-K28112517	6.667999999999997	0
GSE90594	300	BRD-K91701654	U-0126	6.009428571428579	0
GSE90594	300	BRD-K08317416	BRD-K08317416	7.764999999999993	0
GSE90594	300	BRD-A06726973	dibutyrylcyclic-gmp	9.198732142857137	0
GSE90594	300	BRD-K49371609	PIK-75	13.154669897959172	0
GSE90594	300	BRD-A15435692	BMY-14802	10.803333333333335	0
GSE90594	300	BRD-A03926027	ST-014147	10.088249999999993	0
GSE90594	300	BRD-K58223721	BRD-K58223721	19.608202380952374	0
GSE90594	300	BRD-K87730440	BRD-K87730440	11.406327380952384	0
GSE90594	300	BRD-A32164164	methyllycaconitine	8.06732738095237	0
GSE90594	300	BRD-K93623501	BRD-K93623501	11.860964285714282	0
GSE90594	300	BRD-A11095214	BRD-A11095214	10.054380952380955	0
GSE90594	300	BRD-K99515112	ST-4029010	15.512619047619042	0
GSE90594	300	BRD-K58033748	BRD-K58033748	12.23755476190476	0
GSE90594	300	BRD-K57285282	JAS07-006	7.157464285714291	0
GSE90594	300	BRD-K45356824	SA-1973497	8.105385714285717	0
GSE90594	300	BRD-K92446736	zatebradine	5.639735714285718	0
GSE90594	300	BRD-A92651262	nalbuphine	8.864866666666666	0
GSE90594	300	BRD-K76876037	BRD-K76876037	9.610339285714282	0
GSE90594	300	BRD-K81300454	BRD-K81300454	8.709730612244895	0
GSE90594	300	BRD-A61189834	BRD-A61189834	10.20781904761904	0
GSE90594	300	BRD-K82865713	prostaglandin-b2	10.600071428571436	0
GSE90594	300	BRD-K41571462	BRD-K41571462	12.025530952380954	0
GSE90594	300	BRD-K50297939	UTMB-00530	12.652952380952371	0
GSE90594	300	BRD-K46766488	S-14506	14.127523809523817	0
GSE90594	300	BRD-K47808476	BRD-K47808476	14.161934523809528	0
GSE90594	300	BRD-K68007270	BRD-K68007270	7.982726190476184	0
GSE90594	300	BRD-K98064019	BRD-K98064019	7.435202380952383	0
GSE90594	300	BRD-A96485169	EBPC	14.891976190476178	0
GSE90594	300	BRD-A97479839	piperidolate	8.602485714285713	0
GSE90594	300	BRD-K20401833	BRD-K20401833	9.296673469387752	0
GSE90594	300	BRD-K07110772	SA-433965	11.671360714285704	0
GSE90594	300	BRD-A07440155	labetalol	7.955152380952374	0
GSE90594	300	BRD-K79489641	BRD-K79489641	10.963113095238091	0
GSE90594	300	BRD-A77216878	manumycin-a	10.274385714285717	0
GSE90594	300	BRD-K48188942	BG-STK33-59	10.370976190476192	0
GSE90594	300	BRD-K95785537	PP-2	1.206928571428568	0
GSE90594	300	BRD-K12690157	BRD-K12690157	5.799445238095239	0
GSE90594	300	BRD-A38878059	BL-077	9.636315476190466	0
GSE90594	300	BRD-K23319301	BRD-K23319301	5.910842857142846	0
GSE90594	300	BRD-A92439610	triamcinolone-acetonide	8.43147619047618	0
GSE90594	300	BRD-K89451433	BRD-K89451433	6.124467857142851	0
GSE90594	300	BRD-K98404142	BRD-K98404142	8.109845238095243	0
GSE90594	300	BRD-K58900438	BRD-K58900438	11.941488095238094	0
GSE90594	300	BRD-K51683034	BRD-K51683034	13.015219047619048	0
GSE90594	300	BRD-K88008216	BRD-K88008216	9.542458333333336	0
GSE90594	300	BRD-K84284996	PSH-025	16.187167857142853	0
GSE90594	300	BRD-K78167523	BRD-K78167523	4.242583333333331	0
GSE90594	300	BRD-K26241953	piceatannol	7.060860714285716	0
GSE90594	300	BRD-K53423944	BRD-K53423944	7.185916666666674	0
GSE90594	300	BRD-K69932463	AZD-8055	1.4470000000000005	0
GSE90594	300	BRD-K18972207	BRD-K18972207	10.818690476190474	0
GSE90594	300	BRD-A48631911	mibefradil	9.103825396825403	0
GSE90594	300	BRD-K36862742	hydroflumethiazide	7.128220238095228	0
GSE90594	300	BRD-K95047050	BRD-K95047050	14.083720238095246	0
GSE90594	300	BRD-A18411371	BRD-A18411371	10.964616666666668	0
GSE90594	300	BRD-K16782389	BRD-K16782389	6.377452380952377	0
GSE90594	300	BRD-K98143437	SB-239063	6.896190476190474	0
GSE90594	300	BRD-K75264577	BRD-K75264577	10.811863095238103	0
GSE90594	300	BRD-K50985433	BRD-K50985433	15.323904761904764	0
GSE90594	300	BRD-K27881911	BRD-K27881911	10.460985714285718	0
GSE90594	300	BRD-K53523901	arctigenin	7.797069047619046	0
GSE90594	300	BRD-K46862739	metyrapone	9.08437716450216	0
GSE90594	300	BRD-K80451230	zamifenacin	9.528559523809516	0
GSE90594	300	BRD-K21387011	BRD-K21387011	11.374202380952378	0
GSE90594	300	BRD-K37940862	BRD-K37940862	10.140964285714286	0
GSE90594	300	BRD-K68202742	trichostatin-a	5.9509642857142735	0
GSE90594	300	BRD-A67605442	tetrahydrobiopterin	9.631547619047627	0
GSE90594	300	BRD-A15493168	tetracycline	11.884761904761907	0
GSE90594	300	BRD-K85383046	IAA-94	8.475732142857142	0
GSE90594	300	BRD-A43640821	BRD-A43640821	4.616166666666671	0
GSE90594	300	BRD-K89020690	BRD-K89020690	6.164892857142862	0
GSE90594	300	BRD-A73741725	exemestane	13.955142857142858	0
GSE90594	300	BRD-K14788918	BRD-K14788918	7.615428571428562	0
