Gene	log2FC	pvalue	FDR	direction	Symbol
200636_s_at	-0.2714614358803207	0.1288403051319375	0.9032047469443546	Not Sig	PTPRF
200637_s_at	-0.4945264950865846	0.5028369736536095	0.9990466365428996	Not Sig	PTPRF
200638_s_at	-0.2135644470665187	0.2096636423915933	0.9847922203951486	Not Sig	YWHAZ
200639_s_at	-0.0682316440462145	0.5925020144980133	0.9990466365428996	Not Sig	YWHAZ
200640_at	-0.1182110342810531	0.3815226328744187	0.9990466365428996	Not Sig	YWHAZ
200641_s_at	-0.4742401344014819	0.1662886927905572	0.9462803912397866	Not Sig	YWHAZ
200642_at	-0.0541668032801947	0.7381776828281741	0.9990466365428996	Not Sig	SOD1
200643_at	-0.1196959351155673	0.6949177033743926	0.9990466365428996	Not Sig	HDLBP
200644_at	-0.6534850233484715	0.0499801055494986	0.6878978184050728	Down	MARCKSL1
200645_at	-0.0595654369134006	0.697806414480609	0.9990466365428996	Not Sig	GABARAP
200646_s_at	0.1535409655502304	0.7779073063538837	0.9990466365428996	Not Sig	NUCB1
200647_x_at	-0.0091914020481933	0.9724805610156088	0.9990466365428996	Not Sig	EIF3C
200648_s_at	-0.576652438462494	0.227015083509629	0.9943294492092184	Not Sig	GLUL
200649_at	0.4302804488969691	0.3564491755345716	0.9990466365428996	Not Sig	NUCB1
200650_s_at	0.1625179245032342	0.0468541274694545	0.6791674124777604	Not Sig	LDHA
200651_at	0.0684698662231877	0.591594007979157	0.9990466365428996	Not Sig	GNB2L1
200652_at	0.2452647828174878	0.2976298561072262	0.9990466365428996	Not Sig	SSR2
200653_s_at	0.2110476838619721	0.0415232657563639	0.6529827216422057	Not Sig	CALM1
200654_at	0.1175524055789143	0.4066277311801405	0.9990466365428996	Not Sig	P4HB
200655_s_at	0.0444490344202748	0.7667758571435112	0.9990466365428996	Not Sig	CALM1
200656_s_at	-0.091163592137585	0.8506686197172295	0.9990466365428996	Not Sig	P4HB
200657_at	0.0901247384761063	0.534260207445248	0.9990466365428996	Not Sig	SLC25A5
200658_s_at	0.041240761807952	0.8968532003271454	0.9990466365428996	Not Sig	PHB
200659_s_at	0.3076196668730357	0.1050319928648459	0.8522606834996637	Not Sig	PHB
200660_at	-0.1931558255374064	0.1210010886747389	0.8828977659267285	Not Sig	S100A11
200661_at	0.0545652006440473	0.875595695198701	0.9990466365428996	Not Sig	CTSA
200662_s_at	0.2074445202046408	0.180633235013498	0.9591951864105522	Not Sig	TOMM20
200663_at	0.3657947586635472	0.1956512653990712	0.9707246417511404	Not Sig	CD63
200664_s_at	-0.1586059436735398	0.7266796561977218	0.9990466365428996	Not Sig	DNAJB1
200665_s_at	0.5184311916821933	0.0196780181241955	0.4879146634054894	Up	SPARC
200666_s_at	-0.1269208282013512	0.586736589804176	0.9990466365428996	Not Sig	DNAJB1
200667_at	0.0314299445646124	0.8200185330634755	0.9990466365428996	Not Sig	UBE2D3
200668_s_at	0.1209797717605862	0.525110166727191	0.9990466365428996	Not Sig	UBE2D3
200669_s_at	0.0747280991900556	0.7069918057944009	0.9990466365428996	Not Sig	UBE2D3
200670_at	0.3452329169690937	0.2022008003196638	0.9778866682263946	Not Sig	XBP1
200671_s_at	-0.0909557229832422	0.7866587029078166	0.9990466365428996	Not Sig	SPTBN1
200672_x_at	0.0297371441350371	0.8967133123983942	0.9990466365428996	Not Sig	SPTBN1
200673_at	0.117357897189855	0.4182112554757669	0.9990466365428996	Not Sig	LAPTM4A
200674_s_at	0.0218094410204496	0.8365488951110185	0.9990466365428996	Not Sig	RPL32
200675_at	0.1346902340013951	0.522651637990675	0.9990466365428996	Not Sig	CD81
200676_s_at	-0.0003220853237984	0.9985959055445772	0.9995477718534194	Not Sig	UBE2L3
200677_at	0.0292615395854483	0.7924144423557338	0.9990466365428996	Not Sig	PTTG1IP
200678_x_at	0.1288879245433065	0.624608865358653	0.9990466365428996	Not Sig	GRN
200679_x_at	0.1451611798838001	0.4703330916355403	0.9990466365428996	Not Sig	HMGB1
200680_x_at	-0.0844713618806203	0.4198004228054766	0.9990466365428996	Not Sig	HMGB1
200681_at	0.0105581114084802	0.947637532634378	0.9990466365428996	Not Sig	GLO1
200682_s_at	0.0648539402097814	0.6787634694685615	0.9990466365428996	Not Sig	UBE2L3
200683_s_at	0.0322977088395974	0.9226046699796236	0.9990466365428996	Not Sig	UBE2L3
200684_s_at	-0.199665125944807	0.5783766604587303	0.9990466365428996	Not Sig	UBE2L3
200685_at	0.1171680638902623	0.6392615434695272	0.9990466365428996	Not Sig	SRSF11
200686_s_at	-0.0479126524099875	0.7651594610525769	0.9990466365428996	Not Sig	SRSF11
200687_s_at	0.072080213016358	0.5949761925381061	0.9990466365428996	Not Sig	SF3B3
200688_at	0.2204412002233287	0.2078979449441326	0.9830904268004568	Not Sig	SF3B3
200689_x_at	0.0007003916291825	0.9937235593807112	0.9995477718534194	Not Sig	EEF1G
200690_at	0.1776472206759969	0.4812331413364197	0.9990466365428996	Not Sig	HSPA9
200691_s_at	0.27938550591786	0.1806139811263477	0.9591951864105522	Not Sig	HSPA9
200692_s_at	0.2530968514778315	0.1973922941965539	0.9736344449471228	Not Sig	HSPA9
200693_at	-0.6289301210921376	0.0052287317645718	0.2591059519769412	Down	YWHAQ
200694_s_at	0.2422248902815225	0.2426789340796995	0.998711522789042	Not Sig	DDX24
200695_at	-0.1838349133449233	0.6329331049423167	0.9990466365428996	Not Sig	PPP2R1A
200696_s_at	-0.1793466924980169	0.1668320081886899	0.9462803912397866	Not Sig	GSN
