ID_REF	GSM1627296	GSM1627297	GSM1627298	GSM1627299	GSM1627300	GSM1627301
ILMN_1652205	5.821761191	5.898983308	6.05342898	5.98397183	5.586098791	5.855475561
ILMN_1652206	5.81639926	5.600439921	5.334606066	5.75514544	5.438522457	5.26376431
ILMN_1652207	13.30492239	13.11824171	13.2305985	13.63384833	13.66938755	13.41719344
ILMN_1652209	6.000588431	6.178258458	6.343258686	5.87676431	6.158973002	6.065788856
ILMN_1652215	7.341351854	7.301710664	7.022624716	7.505578502	7.410488553	7.492806785
ILMN_1652218	5.7494487	5.971814377	6.143334583	5.780717363	5.988390201	5.690714114
ILMN_1652219	5.441302458	5.750932098	5.725294737	5.641555651	5.796666905	5.861449903
ILMN_1652223	7.717208238	7.808166704	7.767431146	7.755849644	7.562832882	7.528971079
ILMN_1652230	13.30915514	13.24819953	13.21494613	13.72233728	13.64632793	13.69053883
ILMN_1652236	5.569025408	5.519013892	5.535056253	5.603285318	5.82116496	5.43040143
ILMN_1652237	8.804778036	9.042024493	8.916550739	9.220963857	9.08443505	8.837627037
ILMN_1652242	6.488800321	6.542786961	6.505897223	6.6656711	6.488350453	6.576228473
ILMN_1652243	6.024492369	5.748364999	5.755871679	5.948945777	5.730723007	5.728248961
ILMN_1652244	8.614291346	8.656107352	8.660735751	8.557377143	8.577569184	8.643185609
ILMN_1652246	5.559405999	5.592492869	5.656409709	7.679290534	7.635726575	7.664934176
ILMN_1652248	5.78901473	5.650316095	5.673049057	5.826487973	5.733252035	5.746649552
ILMN_1652249	5.669099778	6.084055802	5.615613948	5.768279611	5.87398487	5.716860935
ILMN_1652254	5.968501056	5.809667041	5.99637698	5.960020993	5.845384581	5.824291511
ILMN_1652259	5.9419403	5.540144382	5.769491541	5.944492954	5.794198112	6.060606791
ILMN_1652276	5.724193864	5.644698841	5.758411456	5.581720376	5.733252035	5.592872651
ILMN_1652277	6.305990922	5.80718865	6.106460908	6.170019061	6.23421574	5.888968246
ILMN_1652280	8.845091444	8.770011727	8.825532953	10.4632201	10.6706091	10.40159122
ILMN_1652284	6.116375008	6.047423761	6.058300557	6.098176701	5.826712616	5.796913729
ILMN_1652287	6.264663096	6.161177752	6.013400303	6.131358376	6.438428766	6.484739424
